발송순번,고객ID,고객명,연락처,세그먼트,우선순위,마지막이용일,경과일,평균주기,초과배수,이용횟수,마지막품목,누적결제금액,잔여횟수,만료일,수신동의,최근발송일,캠페인,채널,제목,발송메시지,발송예정일시,템플릿ID
1591,C102983,이민영,010-1848-1402,단골/VIP,2순위,2026-07-13,23일,24일,1.0배,16회,프리미엄 관리,"4,201,800원",5회,2026-09-30,동의,2026-05-19,잔여 횟수 예약 유도,카카오 알림톡,,"이민영님, 결제하신 관리 16회 중 5회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1592,C102997,전윤연,010-9268-8575,단골/VIP,2순위,2026-07-13,23일,24일,1.0배,22회,탄력 집중 관리,"6,093,300원",1회,2026-09-30,동의,2026-05-27,잔여 횟수 예약 유도,카카오 알림톡,,"전윤연님, 결제하신 관리 22회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1593,C103018,정수경,010-2812-1583,단골/VIP,2순위,2026-07-13,23일,24일,1.0배,14회,탄력 집중 관리,"3,913,300원",5회,2026-09-30,동의,2026-06-03,잔여 횟수 예약 유도,카카오 알림톡,,"정수경님, 결제하신 관리 14회 중 5회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1594,C103033,송현영,010-8696-6460,단골/VIP,2순위,2026-07-13,23일,24일,1.0배,12회,고주파 리프팅,"4,441,400원",1회,2026-09-30,동의,2026-05-30,잔여 횟수 예약 유도,카카오 알림톡,,"송현영님, 결제하신 관리 12회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1595,C103057,홍서희,010-9684-3922,단골/VIP,2순위,2026-07-13,23일,24일,1.0배,13회,탄력 집중 관리,"2,574,600원",4회,2026-09-30,동의,2026-05-05,잔여 횟수 예약 유도,카카오 알림톡,,"홍서희님, 결제하신 관리 13회 중 4회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1596,C103072,윤현연,010-4490-8575,단골/VIP,2순위,2026-07-13,23일,24일,1.0배,20회,프리미엄 관리,"7,121,100원",1회,2026-09-30,동의,2026-06-30,잔여 횟수 예약 유도,카카오 알림톡,,"윤현연님, 결제하신 관리 20회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1597,C103103,임채경,010-5115-5200,단골/VIP,2순위,2026-07-13,23일,24일,1.0배,18회,고주파 리프팅,"3,656,700원",1회,2026-09-30,동의,2026-06-18,잔여 횟수 예약 유도,카카오 알림톡,,"임채경님, 결제하신 관리 18회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1598,C102907,안소경,010-8453-8610,단골/VIP,2순위,2026-07-14,22일,24일,0.9배,24회,고주파 리프팅,"6,441,000원",1회,2026-09-30,동의,2026-06-14,잔여 횟수 예약 유도,카카오 알림톡,,"안소경님, 결제하신 관리 24회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1599,C102917,황유진,010-7855-4412,단골/VIP,2순위,2026-07-14,22일,24일,0.9배,21회,고주파 리프팅,"6,029,500원",3회,2026-09-30,동의,2026-05-30,잔여 횟수 예약 유도,카카오 알림톡,,"황유진님, 결제하신 관리 21회 중 3회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1600,C102984,한주진,010-5522-6009,단골/VIP,2순위,2026-07-14,22일,24일,0.9배,19회,프리미엄 관리,"6,976,000원",5회,2026-09-30,동의,2026-07-04,잔여 횟수 예약 유도,카카오 알림톡,,"한주진님, 결제하신 관리 19회 중 5회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1601,C103025,신소진,010-7148-2718,단골/VIP,2순위,2026-07-14,22일,24일,0.9배,18회,탄력 집중 관리,"6,290,100원",2회,2026-09-30,동의,2026-04-23,잔여 횟수 예약 유도,카카오 알림톡,,"신소진님, 결제하신 관리 18회 중 2회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1602,C103055,안현정,010-8624-6620,단골/VIP,2순위,2026-07-14,22일,24일,0.9배,20회,프리미엄 관리,"5,346,400원",6회,2026-09-30,동의,2026-04-19,잔여 횟수 예약 유도,카카오 알림톡,,"안현정님, 결제하신 관리 20회 중 6회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1603,C103112,신지준,010-7052-4311,단골/VIP,2순위,2026-07-14,22일,24일,0.9배,23회,고주파 리프팅,"9,364,600원",4회,2026-09-30,동의,2026-06-14,잔여 횟수 예약 유도,카카오 알림톡,,"신지준님, 결제하신 관리 23회 중 4회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1604,C102897,신하준,010-6919-9469,단골/VIP,2순위,2026-07-15,21일,24일,0.9배,19회,탄력 집중 관리,"5,668,700원",1회,2026-09-30,동의,2026-06-11,잔여 횟수 예약 유도,카카오 알림톡,,"신하준님, 결제하신 관리 19회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1605,C102961,이현호,010-1669-4532,단골/VIP,2순위,2026-07-15,21일,24일,0.9배,25회,프리미엄 관리,"4,907,600원",6회,2026-09-30,동의,2026-07-08,잔여 횟수 예약 유도,카카오 알림톡,,"이현호님, 결제하신 관리 25회 중 6회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1606,C102974,임채영,010-5477-5669,단골/VIP,2순위,2026-07-15,21일,24일,0.9배,19회,프리미엄 관리,"3,539,200원",6회,2026-09-30,동의,2026-06-24,잔여 횟수 예약 유도,카카오 알림톡,,"임채영님, 결제하신 관리 19회 중 6회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1607,C102989,홍지서,010-9726-5362,단골/VIP,2순위,2026-07-15,21일,24일,0.9배,21회,프리미엄 관리,"5,922,700원",3회,2026-09-30,동의,2026-06-17,잔여 횟수 예약 유도,카카오 알림톡,,"홍지서님, 결제하신 관리 21회 중 3회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1608,C102991,이서호,010-1538-2112,단골/VIP,2순위,2026-07-15,21일,24일,0.9배,15회,프리미엄 관리,"5,688,700원",3회,2026-09-30,동의,2026-06-02,잔여 횟수 예약 유도,카카오 알림톡,,"이서호님, 결제하신 관리 15회 중 3회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1609,C103013,임민준,010-5140-1772,단골/VIP,2순위,2026-07-15,21일,24일,0.9배,19회,고주파 리프팅,"5,238,400원",4회,2026-09-30,동의,2026-05-17,잔여 횟수 예약 유도,카카오 알림톡,,"임민준님, 결제하신 관리 19회 중 4회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1610,C103014,임소경,010-5101-3310,단골/VIP,2순위,2026-07-15,21일,24일,0.9배,25회,프리미엄 관리,"6,541,800원",1회,2026-09-30,동의,2026-06-02,잔여 횟수 예약 유도,카카오 알림톡,,"임소경님, 결제하신 관리 25회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1611,C103017,전수경,010-9452-7709,단골/VIP,2순위,2026-07-15,21일,24일,0.9배,24회,탄력 집중 관리,"6,637,800원",3회,2026-09-30,동의,2026-05-04,잔여 횟수 예약 유도,카카오 알림톡,,"전수경님, 결제하신 관리 24회 중 3회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1612,C103021,한예정,010-5717-2732,단골/VIP,2순위,2026-07-15,21일,24일,0.9배,19회,고주파 리프팅,"7,590,300원",4회,2026-09-30,동의,2026-05-20,잔여 횟수 예약 유도,카카오 알림톡,,"한예정님, 결제하신 관리 19회 중 4회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1613,C103048,강현연,010-3540-1590,단골/VIP,2순위,2026-07-15,21일,24일,0.9배,12회,탄력 집중 관리,"2,713,500원",4회,2026-09-30,동의,2026-06-02,잔여 횟수 예약 유도,카카오 알림톡,,"강현연님, 결제하신 관리 12회 중 4회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1614,C103064,조민빈,010-3965-9841,단골/VIP,2순위,2026-07-15,21일,24일,0.9배,16회,탄력 집중 관리,"6,392,700원",6회,2026-09-30,동의,2026-05-01,잔여 횟수 예약 유도,카카오 알림톡,,"조민빈님, 결제하신 관리 16회 중 6회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1615,C103096,조지경,010-3764-5597,단골/VIP,2순위,2026-07-15,21일,24일,0.9배,17회,탄력 집중 관리,"5,678,300원",3회,2026-09-30,동의,2026-07-04,잔여 횟수 예약 유도,카카오 알림톡,,"조지경님, 결제하신 관리 17회 중 3회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1616,C103111,송유정,010-8993-7531,단골/VIP,2순위,2026-07-15,21일,24일,0.9배,15회,고주파 리프팅,"3,786,700원",1회,2026-09-30,동의,2026-05-07,잔여 횟수 예약 유도,카카오 알림톡,,"송유정님, 결제하신 관리 15회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1617,C102901,강지서,010-3447-4656,단골/VIP,2순위,2026-07-16,20일,24일,0.8배,19회,탄력 집중 관리,"4,689,700원",1회,2026-09-30,동의,2026-06-14,잔여 횟수 예약 유도,카카오 알림톡,,"강지서님, 결제하신 관리 19회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1618,C102902,최서준,010-2671-5055,단골/VIP,2순위,2026-07-16,20일,24일,0.8배,12회,프리미엄 관리,"3,858,000원",6회,2026-09-30,동의,2026-07-07,잔여 횟수 예약 유도,카카오 알림톡,,"최서준님, 결제하신 관리 12회 중 6회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1619,C102915,홍예경,010-9986-6199,단골/VIP,2순위,2026-07-16,20일,24일,0.8배,20회,탄력 집중 관리,"3,703,300원",6회,2026-09-30,동의,2026-05-17,잔여 횟수 예약 유도,카카오 알림톡,,"홍예경님, 결제하신 관리 20회 중 6회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1620,C102922,한채빈,010-5511-4432,단골/VIP,2순위,2026-07-16,20일,24일,0.8배,25회,탄력 집중 관리,"6,744,600원",1회,2026-09-30,동의,2026-06-20,잔여 횟수 예약 유도,카카오 알림톡,,"한채빈님, 결제하신 관리 25회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1621,C102924,장주아,010-4695-7713,단골/VIP,2순위,2026-07-16,20일,24일,0.8배,19회,고주파 리프팅,"5,413,800원",2회,2026-09-30,동의,2026-06-29,잔여 횟수 예약 유도,카카오 알림톡,,"장주아님, 결제하신 관리 19회 중 2회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1622,C102938,홍주진,010-9885-9233,단골/VIP,2순위,2026-07-16,20일,24일,0.8배,19회,탄력 집중 관리,"4,971,900원",2회,2026-09-30,동의,2026-06-03,잔여 횟수 예약 유도,카카오 알림톡,,"홍주진님, 결제하신 관리 19회 중 2회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1623,C103015,서하수,010-6599-3025,단골/VIP,2순위,2026-07-16,20일,24일,0.8배,15회,고주파 리프팅,"4,689,400원",3회,2026-09-30,동의,2026-05-19,잔여 횟수 예약 유도,카카오 알림톡,,"서하수님, 결제하신 관리 15회 중 3회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1624,C103066,홍하연,010-9748-5801,단골/VIP,2순위,2026-07-16,20일,24일,0.8배,17회,고주파 리프팅,"7,062,300원",3회,2026-09-30,동의,2026-07-01,잔여 횟수 예약 유도,카카오 알림톡,,"홍하연님, 결제하신 관리 17회 중 3회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1625,C103081,한지호,010-5771-5752,단골/VIP,2순위,2026-07-16,20일,24일,0.8배,20회,프리미엄 관리,"8,142,600원",2회,2026-09-30,동의,2026-06-11,잔여 횟수 예약 유도,카카오 알림톡,,"한지호님, 결제하신 관리 20회 중 2회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1626,C103086,장도서,010-4658-8354,단골/VIP,2순위,2026-07-16,20일,24일,0.8배,16회,고주파 리프팅,"6,323,700원",2회,2026-09-30,동의,2026-05-21,잔여 횟수 예약 유도,카카오 알림톡,,"장도서님, 결제하신 관리 16회 중 2회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1627,C103107,박현진,010-1966-3883,단골/VIP,2순위,2026-07-16,20일,24일,0.8배,15회,탄력 집중 관리,"5,683,000원",1회,2026-09-30,동의,2026-06-18,잔여 횟수 예약 유도,카카오 알림톡,,"박현진님, 결제하신 관리 15회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1628,C103116,한현수,010-5563-6758,단골/VIP,2순위,2026-07-16,20일,24일,0.8배,20회,탄력 집중 관리,"4,679,800원",5회,2026-09-30,동의,2026-05-26,잔여 횟수 예약 유도,카카오 알림톡,,"한현수님, 결제하신 관리 20회 중 5회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1629,C102894,오하아,010-6117-8739,단골/VIP,2순위,2026-07-17,19일,24일,0.8배,17회,탄력 집중 관리,"4,451,900원",2회,2026-09-30,동의,2026-07-16,잔여 횟수 예약 유도,카카오 알림톡,,"오하아님, 결제하신 관리 17회 중 2회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1630,C102911,권소수,010-7630-4468,단골/VIP,2순위,2026-07-17,19일,24일,0.8배,25회,프리미엄 관리,"4,868,900원",4회,2026-09-30,동의,2026-06-16,잔여 횟수 예약 유도,카카오 알림톡,,"권소수님, 결제하신 관리 25회 중 4회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1631,C102927,조도영,010-3868-1400,단골/VIP,2순위,2026-07-17,19일,24일,0.8배,14회,탄력 집중 관리,"4,216,500원",5회,2026-09-30,동의,2026-05-22,잔여 횟수 예약 유도,카카오 알림톡,,"조도영님, 결제하신 관리 14회 중 5회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1632,C102954,윤소아,010-4236-9578,단골/VIP,2순위,2026-07-17,19일,24일,0.8배,22회,고주파 리프팅,"4,359,700원",5회,2026-09-30,동의,2026-05-08,잔여 횟수 예약 유도,카카오 알림톡,,"윤소아님, 결제하신 관리 22회 중 5회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1633,C102958,강소영,010-3448-2443,단골/VIP,2순위,2026-07-17,19일,24일,0.8배,21회,프리미엄 관리,"8,733,400원",1회,2026-09-30,동의,2026-06-21,잔여 횟수 예약 유도,카카오 알림톡,,"강소영님, 결제하신 관리 21회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1634,C102968,전예영,010-9524-9819,단골/VIP,2순위,2026-07-17,19일,24일,0.8배,19회,탄력 집중 관리,"7,617,300원",6회,2026-09-30,동의,2026-06-02,잔여 횟수 예약 유도,카카오 알림톡,,"전예영님, 결제하신 관리 19회 중 6회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1635,C102993,송서호,010-9087-9571,단골/VIP,2순위,2026-07-17,19일,24일,0.8배,26회,탄력 집중 관리,"5,296,500원",1회,2026-09-30,동의,2026-06-29,잔여 횟수 예약 유도,카카오 알림톡,,"송서호님, 결제하신 관리 26회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1636,C103007,전윤수,010-9300-2291,단골/VIP,2순위,2026-07-17,19일,24일,0.8배,11회,탄력 집중 관리,"3,911,900원",4회,2026-09-30,동의,2026-05-17,잔여 횟수 예약 유도,카카오 알림톡,,"전윤수님, 결제하신 관리 11회 중 4회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1637,C103036,조서아,010-3936-1077,단골/VIP,2순위,2026-07-17,19일,24일,0.8배,26회,프리미엄 관리,"8,449,400원",3회,2026-09-30,동의,2026-06-16,잔여 횟수 예약 유도,카카오 알림톡,,"조서아님, 결제하신 관리 26회 중 3회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1638,C103047,송서서,010-8964-2349,단골/VIP,2순위,2026-07-17,19일,24일,0.8배,12회,탄력 집중 관리,"3,755,000원",3회,2026-09-30,동의,2026-05-25,잔여 횟수 예약 유도,카카오 알림톡,,"송서서님, 결제하신 관리 12회 중 3회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1639,C103074,조지진,010-3984-8152,단골/VIP,2순위,2026-07-17,19일,24일,0.8배,21회,탄력 집중 관리,"8,621,100원",4회,2026-09-30,동의,2026-05-18,잔여 횟수 예약 유도,카카오 알림톡,,"조지진님, 결제하신 관리 21회 중 4회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1640,C103097,오은수,010-6028-6779,단골/VIP,2순위,2026-07-17,19일,24일,0.8배,19회,프리미엄 관리,"6,494,500원",1회,2026-09-30,동의,2026-05-13,잔여 횟수 예약 유도,카카오 알림톡,,"오은수님, 결제하신 관리 19회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1641,C102936,송민영,010-8822-6089,단골/VIP,2순위,2026-07-18,18일,24일,0.8배,15회,고주파 리프팅,"6,230,400원",1회,2026-09-30,동의,2026-06-05,잔여 횟수 예약 유도,카카오 알림톡,,"송민영님, 결제하신 관리 15회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1642,C102946,임하준,010-5489-9810,단골/VIP,2순위,2026-07-18,18일,24일,0.8배,24회,탄력 집중 관리,"8,141,900원",6회,2026-09-30,동의,2026-06-17,잔여 횟수 예약 유도,카카오 알림톡,,"임하준님, 결제하신 관리 24회 중 6회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1643,C102965,박유희,010-2312-1258,단골/VIP,2순위,2026-07-18,18일,24일,0.8배,26회,프리미엄 관리,"10,324,300원",6회,2026-09-30,동의,2026-06-22,잔여 횟수 예약 유도,카카오 알림톡,,"박유희님, 결제하신 관리 26회 중 6회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1644,C102973,송예희,010-8846-3097,단골/VIP,2순위,2026-07-18,18일,24일,0.8배,20회,프리미엄 관리,"6,907,400원",5회,2026-09-30,동의,2026-06-09,잔여 횟수 예약 유도,카카오 알림톡,,"송예희님, 결제하신 관리 20회 중 5회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1645,C102996,안서서,010-8367-7537,단골/VIP,2순위,2026-07-18,18일,24일,0.8배,13회,고주파 리프팅,"3,204,700원",1회,2026-09-30,동의,2026-06-16,잔여 횟수 예약 유도,카카오 알림톡,,"안서서님, 결제하신 관리 13회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1646,C103001,권윤경,010-7544-6947,단골/VIP,2순위,2026-07-18,18일,24일,0.8배,15회,프리미엄 관리,"3,853,500원",3회,2026-09-30,동의,2026-05-31,잔여 횟수 예약 유도,카카오 알림톡,,"권윤경님, 결제하신 관리 15회 중 3회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1647,C103035,장현경,010-4904-6048,단골/VIP,2순위,2026-07-18,18일,24일,0.8배,20회,탄력 집중 관리,"6,087,700원",3회,2026-09-30,동의,2026-05-28,잔여 횟수 예약 유도,카카오 알림톡,,"장현경님, 결제하신 관리 20회 중 3회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1648,C103079,이서서,010-1683-8357,단골/VIP,2순위,2026-07-18,18일,24일,0.8배,21회,고주파 리프팅,"7,885,900원",4회,2026-09-30,동의,2026-06-05,잔여 횟수 예약 유도,카카오 알림톡,,"이서서님, 결제하신 관리 21회 중 4회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1649,C103085,김도서,010-1106-9962,단골/VIP,2순위,2026-07-18,18일,24일,0.8배,15회,탄력 집중 관리,"4,226,400원",4회,2026-09-30,동의,2026-06-27,잔여 횟수 예약 유도,카카오 알림톡,,"김도서님, 결제하신 관리 15회 중 4회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1650,C103099,서주준,010-6722-7362,단골/VIP,2순위,2026-07-18,18일,24일,0.8배,18회,탄력 집중 관리,"4,012,200원",3회,2026-09-30,동의,2026-06-04,잔여 횟수 예약 유도,카카오 알림톡,,"서주준님, 결제하신 관리 18회 중 3회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1651,C103105,서유희,010-6475-2079,단골/VIP,2순위,2026-07-18,18일,24일,0.8배,17회,프리미엄 관리,"5,476,800원",3회,2026-09-30,동의,2026-06-09,잔여 횟수 예약 유도,카카오 알림톡,,"서유희님, 결제하신 관리 17회 중 3회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1652,C102921,신서경,010-6932-2989,단골/VIP,2순위,2026-07-19,17일,24일,0.7배,14회,고주파 리프팅,"5,869,600원",4회,2026-09-30,동의,2026-06-15,잔여 횟수 예약 유도,카카오 알림톡,,"신서경님, 결제하신 관리 14회 중 4회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
1653,C102925,권주영,010-7667-3797,단골/VIP,2순위,2026-07-19,17일,24일,0.7배,23회,고주파 리프팅,"9,586,800원",1회,2026-09-30,동의,2026-05-16,잔여 횟수 예약 유도,카카오 알림톡,,"권주영님, 결제하신 관리 23회 중 1회가 남아 있습니다.

잔여 횟수는 8월 31일까지 사용 가능하며, 담당 실장 일정으로 우선 배정해 드립니다.",2026-08-04(화) 10:30,T-VIP-01
